synonym,source
"Scholarly, Erudite, Learned",Academic
"Welcome, Receive, Greet",Accept
"Correct, Exact, Precise",Accurate
"Concede, Acknowledge, Grant",Admit
"Scared, Frightened, Fearful",Afraid
"Living, Breathing, Active",Alive
"Permit, Authorize, Agree to",Allow
"Constantly, Continually, Perpetually",Always
"Archaic, Antique, Age-old",Ancient
"Come, Reach, Land",Arrive
"Spine, Vertebra, Column",Backbone
"Lovely, Attractive, Gorgeous",Beautiful
"Start, Commence, Initiate",Begin
"Daring, Audacious, Fearless",Bold
"Courageously, Daringly, Fearlessly",Boldly
"Audacious, Courageous, Heroic",Brave
"Vast, Wide, Expansive",Broad
"Occupied, Engaged, Active",Busy
"Catastrophic, Disastrous, Ruinous",Calamitous
"Catastrophe, Disaster, Misfortune",Calamity
"Peaceful, Tranquil, Serene",Calm
"Careful, Prudent, Guarded",Cautious
"Joyful, Happy, Merry",Cheerful
"Smart, Intelligent, Bright",Clever
"Ease, Solace, Relief",Comfort
"Hide, Cover, Disguise",Conceal
"Bravery, Valor, Fortitude",Courage
"Produce, Make, Generate",Create
"Everyday, Diurnal, Routine",Daily
"Protect, Guard, Shield",Defend
"Hard, Arduous, Demanding",Difficult
"Prematurely, Timely, In Advance",Early
"Simple, Effortless, Smooth",Easy
"Celestial, Heavenly, Airy",Ethereal
"Just, Impartial, Unbiased",Fair-minded
"Justice, Equity, Impartiality",Fairness
"Pursue, Trail, Accompany",Follow
"Prohibit, Ban, Disallow",Forbid
"Neglect, Overlook, Mislay",Forget
"Companion, Ally, Pal",Friend
"Stare, Peer, Regard",Gaze
"Giving, Openhanded, Liberal",Generous
"Pleased, Happy, Delighted",Glad
"Splendor, Renown, Honor",Glory
"Peacefully, Agreeably, Melodiously",Harmoniously
"Agreement, Concord, Accord",Harmony
"Household, Abode, Residence",Home
"Genuine, Truthful, Sincere",Honest
"Welcoming, Friendly, Amicable",Hospitable
