lemma,definition,translationEs
Abode,A place in which one lives; one's home.,Morada
Academic,"A member of an academy, college, or university; an academician.",Académico/a
Accept,Receive; answer affirmatively.,Aceptar
Accompany,"To be or go with, especially as a companion.",Acompañar
Accord,Agreement; harmony. A settlement or compromise between conflicting parties.,Acuerdo
Accurate,Conforming exactly to truth or to a standard; free from error or defect; precise.,Preciso/a
Acknowledge,To admit the existence or truth of.,Reconocer
Active,Being in physical motion.,Activo/a
Admit,"To grant to be real, valid, or true; acknowledge or concede.",Admitir
Afraid,Filled with fear or apprehension.,Temeroso/a
Age-old,Very old or ancient.,Millenario/a
Agitated,Troubled emotionally and usually deeply.,Agitado/a
Agree to,To approve of or consent to something.,Aceptar
Agreeably,In an enjoyable manner.,Agradablemente
Agreement,The act of agreeing. Harmony of opinion; accord.,Acuerdo
Airy,Open to or allowing in air; breezy or drafty.,Airoso/a
Alive,Having life; in opposition to dead,Vivo/a
Allow,To let do or happen; permit.,Permitir
Ally,"One that is allied with another, especially by treaty.  One in helpful association with another.",Aliado/a
Always,At all times.,Siempre
Amicable,Characterized by showing goodwill; peaceable.,Amigable
Ancient,"Of, relating to, or belonging to times long past, especially before the fall of the Western Roman Empire",Antiguo/a
Antique,Belonging to the past; bygone; archaic.,Antiguo/a
Archaic,"Relating to, being, or characteristic of a much earlier, often more primitive period, especially one that develops into a classical stage of civilization.",Arcaico/a
Arduous,Demanding great effort or labor; difficult.,Arduo/a
Arrive,To reach a destination.,Llegar
Attack,To set upon with violent force. To criticize strongly or in a hostile manner.,Atacar
Attractive,"Pleasing to the senses or mind, as by being beautiful.",Atractivo/a
Audacious,"Fearlessly, often recklessly daring; bold.",Audaz
Authorize,To grant authority or power to.,Autorizar
Away,At or to a distance in space or time.,Lejos
Backbone,The column of bones in the back which sustains and gives firmness to the frame; the spine; the vertebral or spinal column. Strength of character; determination; firmness; moral principle; steadfastness.,"Columna vertebral, firmeza/carácter"
Ban,"To prohibit (an action) or forbid the use of (something), especially by official decree.",Prohibir
Beautiful,Having qualities that delight or appeal to the senses and often the mind.,Hermoso/a
Begin,To perform or undergo the first part of an action; start.,Empezar
Biased,Marked by or exhibiting bias; prejudiced.,Sesgado/a
Blessing,"A short prayer said before or after a meal; grace. Something promoting or contributing to happiness, well-being, or prosperity; a boon.",Bendición
Bold,Fearless and daring; courageous:,Audaz
Boldly,"With boldness, in a bold manner.",Audazmente
Brave,Possessing or displaying courage.,Valiente
Bravery,The condition or quality of being brave; courage.,Valentía
Breathing,Passing or able to pass air in and out of the lungs normally.,Respirante
Bright,Emitting or reflecting light readily or in large amounts; shining.,Brillante
Broad,Wide in extent from side to side.,Ancho/a
Busy,"Engaged in activity, as work; occupied.",Ocupado/a
